Rating Date,current_ratio,long_term_debt,debt_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pre_tax_profit_margin,net_profit_margin,asset_turnover,return_on_equity,return_on_assets,operating_cash_flow_per_share,free_cash_flow
2025-08-19 19:00:00.616503,1.0404320801400035,49884000000.0,2.138499285897389,56.6522716045448,16.053415772951094,11.965961786687489,19.40305642758115,9.237805363886986,9.597947508485651,0.4574667395662475,22.056615519830082,4.390741753234919,14.43341504188531,14493000000.0
2025-08-20 11:04:48.632133,1.0404320801400035,49884000000.0,2.138499285897389,56.6522716045448,16.053415772951094,11.965961786687489,19.40305642758115,9.237805363886986,9.597947508485651,0.4574667395662475,22.056615519830082,-18.033474056109462,4.390741753234919,4.390741753234919,14.43341504188531,15.558459219192546,0.1185029272045075
